@RELATION WhaleSharkLocationIDPredictor

@ATTRIBUTE encounter String
@ATTRIBUTE video String
@ATTRIBUTE title String
@ATTRIBUTE tags String
@ATTRIBUTE description String
@ATTRIBUTE location String
@ATTRIBUTE class {1,1a,1a1,1a2,1a3,1g,2,2a,2b,2c,2d,2e,2e1,2f,2g,2h,2h1,2h2,2h3,4a,4a1,4a2,4h,4h1,4h1a,4h2,4h2a,4h2b,4h2c,4h3,4h4,6a,6a1,6a2,6a3,6a4,6b,7,7a,7b,7c,7d,8a,ChristmasIsland,Djibouti,Hawaii,Indonesia,Kenya,Madagascar,Malaysia,Maldives,Mexico- LC,Mexico-BC,Mexico-BLA,Mexico-BLP,Mexico-Nayarit,Mexico-Revillagigedo,Myanmar,None,Panama,Peru,RedSea,RedSea-ShibHabil,Seychelles,SouthAfrica,Study Site 1,Tanzania,Thailand,null}

@data
1892013124614,,'','','','East Contoy Island Mexico',2c
1892013125327,,'','','','East Contoy Island Mexico',2c
189201375730,,'','','','Red Sea  Marsa Alam   Dive Elphinstone Reef  North plateau',RedSea
18a3e0a1-60fb-41e6-91a3-e887b5110d16,,'','','','Red Sea',RedSea-ShibHabil
18aeea70-955b-4cc4-ad19-f195ffa458d0,,'','','','Talisayan Misamis Oriental Philippines',6a
18af726f-e98d-4ebb-a8ad-a91df6d9b78f,,'','','','Black Rock Atoll Tubbataha Reef Palawan',6a4
18b6a564-4320-48bf-a61c-bc9613c547d8,,'','','','Gulf of Tadjoura Djibouti Africa',Djibouti
18cc82f0-03b8-493d-a2bc-3ee7ef659b0d,,'','','','St Helena Island South Atlantic',2h1
18dd9c81-92d8-4ecd-b433-ee827a78f00b,,'','','','Ningaloo Reef Western Australia',1a
1910200614191,,'','','','Off Black Hills Utila Honduras',2a
1910200691010,,'','','No other details known The pictures were taken with a Sea  Sea MX10 Camera so I dont know if theyre going to be clear enough for you','off the Coast of Coral Bay Western Australia when out on a Charter',1a2
19102008153541,,'','','','Green Rock Koh Tao Thailland',null
19102010103749,,'','','','Tofo Mosambik',4a1
191020116527,,'','','whale shark come to fishermans boat and feed flankton it was trained like aquarium','oslob cebu philippine',6a2
19102012101639,,'','','','Tofo Mozambique',4a1
19102012103434,,'','','','Tofo Mozambique',4a1
1910201235127,,'','','','Tofo Mozambique',4a1
1910201242257,,'','','','Tofo Mozambique',4a1
1910201243420,,'','','','Tofo Mozambique',4a1
191020124743,,'','','','Tofo Mozambique',4a1
1910201295833,,'','','','Tofo Mozambique',4a1
1910201312382,,'','','','East Contoy Island Mexico',2c
19102013124825,,'','','','East Contoy Island Mexico',2c
19102013125529,,'','','','East Contoy Island Mexico',2c
1910201313102,,'','','','East Contoy Island Mexico',2c
1910201313128,,'','','','East Contoy Island Mexico',2c
1910201313438,,'','','','East Contoy Island Mexico',2c
19102013134949,,'','','','East Contoy Island Mexico',2c
207200995126,,'','','','between divesides Temple an Ras Um Sid Sharm el SheikSinai  Egypt',RedSea
19102013135521,,'','','','East Contoy Island Mexico',2c
19122008105720,,'','','','Darwin Island Galapagos',7a
19102013141515,,'','','','East Contoy Island Mexico',2c
19102013142339,,'','','','East Contoy Island Mexico',2c
1910201314242,,'','','','East Contoy Island Mexico',2c
1910201314913,,'','','','East Contoy Island Mexico',2c
19102013192931,,'','','','East of Isla Contoy',2c
1910201320116,,'','','','East of Isla Contoy',2c
1910201320333,,'','','','East of Isla Contoy',2c
19112007171456,,'','','He came to us  he circled our snorketling day tour boat several times before we anchored and jumped in to meet him  After we played with him her and reboarded the boat he circled us again and headbutt the boat before he swam off encounter was at least 1 hour','Desecheo Island Puerto Rico',2
19112007223332,,'','','','Behind White Sands resort  spa Maldives',Maldives
1911200723313,,'','','the guide state that these shark migrate thru these water every year from november till february','Golf of tadjoura djibouti africa',Djibouti
191120078341,,'','','Small whale shark cruising over the reef','White Sands resort  spa',Maldives
19112008153028,,'','','footage from helicopter','Plettenberg Bay',null
19112008154054,,'','','','Christmas Island Baracuda Bay',ChristmasIsland
19112008154152,,'','','','East Contoy Island Quintana Roo Mexico',2c
19112008154623,,'','','','Christmas Island White Beach Cave',ChristmasIsland
19112008171837,,'','','','Christmas Island White Beach Cave',ChristmasIsland
191120084112,,'','','','Maamigiliberu South Ari Atoll Maldives',Maldives
1911200842045,,'','','Yellow satellite tag attached on right side behind first dorsal fin as reported by guest','Maamigiliberu South Ari Atoll Maldives',Maldives
1911200965546,,'','','','Sail Rock Koh Phangan Gulf of Thailand',Thailand
19112010102441,,'','','','South Ari Atoll Maldives',Maldives
191120101158,,'','','Scar on side of left pelvic fin','Tofo Mozambique',4a1
1911201011848,,'','','','East Contoy Mexico',2c
19112010171749,,'','','Was on shore and saw a huge splashsaw a giant grey creature moving at surface like a powerful submarineit was fairly far outthen saw a huge flopping dorsal fin then a smaller second fin at first I thought 2 dolphins but it was an enormous fish swimming in the seathe largest I have ever seen in my lifeno one believed me but about 6 weeks laterthis weeka fisherman reported being terrified by a giant 40 sea monsterwith a huge open mouthcoming straight at his boat3 miles of the SW of Barbadoswhich is about 5 or 6 miles downwind from my beach His deion matched what I knew I sawhe said he tried clubbing itplease look into this quickly as it would be terrible for a creature like this to sufferthey are not known to be around Barbadosin recent times but I see Belize and Gulf of Mexico have a lot so there is no reason why one could not be over this side of the Caribbean','South Coast of Barbados off Hastings',null
191120116208,,'','','','Musandam Island Musandam Oman',4h2a
1912008224515,,'','','','Northern Ningaloo',1a1
1912008224828,,'','','','Northern Ningaloo',1a1
1912008225520,,'','','submission 3112200704047 did not upload these images so I have resubmitted this encounter','Northern Ningaloo',1a1
1912008225927,,'','','submission 3112200704929 did not upload these images so I have resubmitted this encounter','northern Ningaloo',1a1
191200834814,,'','','Floppy dorsal fin Highly truncated caudal fin','Donsol Sorsogon Phillipines',6a1
1912011144522,,'','','','East Contoy Mexico',2c
191201114599,,'','','','East Contoy Mexico',2c
191201210202,,'','','','Donsol Sorsogon Philippines',6a1
1912012103033,,'','','','Donsol Sorsogon Philippines',6a1
19120121080,,'','','Curved 1st dorsal fin','Donsol Sorsogon Philippines',6a1
